series_id,window_idx,window_start,window_end,timestamp_start,timestamp_end,attention_fingerprint,n_row_labels,n_token_labels,target_query_label,top_source_label,top_source_attention,time_attn_shape,group_attn_shape
load_26,93,2232,2256,2013-05-20 00:00:00,2013-05-20 23:00:00,73fa0e32a4f53b95,71,14,target,target,0.027930382639169693,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,94,2256,2280,2013-05-21 00:00:00,2013-05-21 23:00:00,23cb6cb3c0821b1f,71,14,target,target,0.02640126645565033,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,95,2280,2304,2013-05-22 00:00:00,2013-05-22 23:00:00,64966bc924f12471,71,14,target,target,0.027118263766169548,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,96,2304,2328,2013-05-23 00:00:00,2013-05-23 23:00:00,1b0be0630c9b4a88,71,14,target,target,0.02742195315659046,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,97,2328,2352,2013-05-24 00:00:00,2013-05-24 23:00:00,cd6b9568ddfa031f,71,14,target,target,0.027420129626989365,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,98,2352,2376,2013-05-27 00:00:00,2013-05-27 23:00:00,ecbe2a4830700562,71,14,target,target,0.027511995285749435,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,99,2376,2400,2013-05-28 00:00:00,2013-05-28 23:00:00,930c5828cdb37688,71,14,target,target,0.029320145025849342,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,100,2400,2424,2013-05-29 00:00:00,2013-05-29 23:00:00,51e0376bc42b7b97,71,14,target,target,0.030227378010749817,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,101,2424,2448,2013-05-30 00:00:00,2013-05-30 23:00:00,2d3fb0fb65332c7f,71,14,target,target,0.02818724326789379,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,102,2448,2472,2013-05-31 00:00:00,2013-05-31 23:00:00,f472986f5b987d57,71,14,target,target,0.027340559288859367,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
